interval_start interval_end amound_of_requests
0:00:00 0:30:00 2537
0:30:00 1:00:00 1939
1:00:00 1:30:00 1701
1:30:02 2:00:02 1647
2:00:02 2:30:02 1369
2:30:02 3:00:02 1414
3:00:07 3:30:07 1290
3:30:07 4:00:07 1497
4:00:10 4:30:10 1521
4:30:10 5:00:10 1609
5:00:10 5:30:10 1851
5:30:10 6:00:10 2648
6:00:11 6:30:11 2842
6:30:11 7:00:11 2793
7:00:11 7:30:11 4533
7:30:12 8:00:12 5498
8:00:12 8:30:12 7572
8:30:12 9:00:12 8820
9:00:12 9:30:12 8817
9:30:12 10:00:12 10759
10:00:12 10:30:12 8235
10:30:12 11:00:12 7358
11:00:12 11:30:12 8150
11:30:12 12:00:12 8622
12:00:14 12:30:14 7426
12:30:14 13:00:14 7020
13:00:14 13:30:14 7147
13:30:15 14:00:15 8055
14:00:16 14:30:16 7783
14:30:16 15:00:16 8940
15:00:16 15:30:16 7838
15:30:17 16:00:17 7781
16:00:17 16:30:17 27730
16:30:17 17:00:17 37598
17:00:17 17:30:17 35498
17:30:17 18:00:17 35513
18:00:17 18:30:17 34615
18:30:17 19:00:17 34549
19:00:17 19:30:17 31322
19:30:17 20:00:17 4269
20:00:17 20:30:17 4407
20:30:17 21:00:17 3615
21:00:17 21:30:17 4757
21:30:17 22:00:17 4581
22:00:17 22:30:17 4322
22:30:17 23:00:17 3614
23:00:17 23:30:17 2349
23:30:17 24:00:17 1710
